Text,Location,Source,Timestamp,Category,pre_reason,cluster,final_category,is_wrong,error_reason,predicted_category,correct
"Heavy rainfall has caused flooding in Vijayawada, Andhra Pradesh.","Vijayawada, Andhra Pradesh",The Hindu,2025-02-21T23:44:53Z,FLOODS,Indicates rainfall or water overflow event,3,LANDSLIDE,True,Rain-related event grouped with other weather events due to semantic similarity,LANDSLIDE,False
"Severe drought affecting water supply in Coimbatore, Tamil Nadu.","Coimbatore, Tamil Nadu",Weather Dept,2023-07-02T02:00:41Z,DROUGHT,Indicates water scarcity,5,DROUGHT,False,Correctly clustered,DROUGHT,True
"Wildfire spreading rapidly in Bengaluru, Karnataka.","Bengaluru, Karnataka",NDTV News,2024-02-01T22:53:43Z,WILDFIRE,Indicates wildfire spreading,8,WILDFIRE,False,Correctly clustered,WILDFIRE,True
"Landslides triggered due to rainfall in Kochi, Kerala.","Kochi, Kerala",Local News,2025-10-19T18:28:42Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Landslides triggered due to rainfall in Mumbai, Maharashtra.","Mumbai, Maharashtra",The Hindu,2024-12-15T10:05:14Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Thunderstorm with lightning strikes in Kochi, Kerala.","Kochi, Kerala",Weather Dept,2025-09-09T03:03:23Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Cold wave with very low temperatures in Warangal, Telangana.","Warangal, Telangana",Weather Dept,2023-12-12T21:57:06Z,COLD_WAVE,Indicates cold wave conditions,2,COLD_WAVE,False,Correctly clustered,COLD_WAVE,True
"Air quality dropped to hazardous levels in Kolkata, West Bengal.","Kolkata, West Bengal",Twitter,2024-09-19T00:35:38Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Hailstorm damaging crops and vehicles in Hyderabad, Telangana.","Hyderabad, Telangana",Local News,2025-03-23T22:13:14Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Multiple climate events including wildfire affecting Mysuru, Karnataka with severe impact.","Mysuru, Karnataka",District Collector Office,2023-12-12T11:12:13Z,WILDFIRE,Indicates wildfire spreading,9,FLOODS,True,Wildfire grouped with heat-related events,FLOODS,False
"Extreme heatwave conditions observed in Jaipur, Rajasthan.","Jaipur, Rajasthan",Weather Dept,2023-04-20T08:00:19Z,HEATWAVE,Indicates extreme heat conditions,2,COLD_WAVE,True,Heatwave grouped with drought due to temperature relation,COLD_WAVE,False
"Multiple climate events including hailstorm affecting Coimbatore, Tamil Nadu with severe impact.","Coimbatore, Tamil Nadu",The Hindu,2025-06-18T21:36:22Z,HAILSTORM,Mentions hailstorm with ice particles,0,THUNDERSTORM,True,Semantic overlap between categories caused misclassification,THUNDERSTORM,False
"Heavy rainfall has caused flooding in Mumbai, Maharashtra.","Mumbai, Maharashtra",IMD Bulletin,2024-01-26T19:02:06Z,FLOODS,Indicates rainfall or water overflow event,3,LANDSLIDE,True,Rain-related event grouped with other weather events due to semantic similarity,LANDSLIDE,False
"Multiple climate events including hailstorm affecting Hyderabad, Telangana with severe impact.","Hyderabad, Telangana",Weather Dept,2023-04-13T01:19:50Z,HAILSTORM,Mentions hailstorm with ice particles,0,THUNDERSTORM,True,Semantic overlap between categories caused misclassification,THUNDERSTORM,False
"Hailstorm damaging crops and vehicles in Warangal, Telangana.","Warangal, Telangana",Weather Dept,2024-10-26T21:53:15Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Cyclone causing strong winds and rain in Visakhapatnam, Andhra Pradesh.","Visakhapatnam, Andhra Pradesh",Twitter,2024-12-08T05:58:52Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Heavy rainfall has caused flooding in Jaipur, Rajasthan.","Jaipur, Rajasthan",District Collector Office,2023-06-30T14:28:09Z,FLOODS,Indicates rainfall or water overflow event,3,LANDSLIDE,True,Rain-related event grouped with other weather events due to semantic similarity,LANDSLIDE,False
"Multiple climate events including thunderstorm affecting Kolkata, West Bengal with severe impact.","Kolkata, West Bengal",NDTV News,2025-06-29T17:08:29Z,THUNDERSTORM,Indicates thunderstorm activity,0,THUNDERSTORM,False,Correctly clustered,THUNDERSTORM,True
"Hailstorm damaging crops and vehicles in Kochi, Kerala.","Kochi, Kerala",Local News,2023-12-25T12:52:51Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Air quality dropped to hazardous levels in Hyderabad, Telangana.","Hyderabad, Telangana",District Collector Office,2025-03-06T07:04:32Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Multiple climate events including heatwave affecting Pune, Maharashtra with severe impact.","Pune, Maharashtra",Local News,2024-01-19T23:18:13Z,HEATWAVE,Indicates extreme heat conditions,9,FLOODS,True,Heatwave grouped with drought due to temperature relation,FLOODS,False
"Severe drought affecting water supply in Kolkata, West Bengal.","Kolkata, West Bengal",The Hindu,2025-01-07T20:21:24Z,DROUGHT,Indicates water scarcity,5,DROUGHT,False,Correctly clustered,DROUGHT,True
"Multiple climate events including air_pollution affecting Katpadi, Vellore with severe impact.","Katpadi, Vellore",District Collector Office,2024-09-28T08:07:50Z,AIR_POLLUTION,Indicates air pollution,9,FLOODS,True,Semantic overlap between categories caused misclassification,FLOODS,False
"Multiple climate events including floods affecting Kolkata, West Bengal with severe impact.","Kolkata, West Bengal",IMD Bulletin,2025-01-08T06:45:23Z,FLOODS,Indicates rainfall or water overflow event,9,FLOODS,False,Correctly clustered,FLOODS,True
"Landslides triggered due to rainfall in Katpadi, Vellore.","Katpadi, Vellore",The Hindu,2025-05-28T02:49:49Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Multiple climate events including wildfire affecting Vijayawada, Andhra Pradesh with severe impact.","Vijayawada, Andhra Pradesh",The Hindu,2025-04-10T17:02:51Z,WILDFIRE,Indicates wildfire spreading,9,FLOODS,True,Wildfire grouped with heat-related events,FLOODS,False
"Wildfire spreading rapidly in Katpadi, Vellore.","Katpadi, Vellore",IMD Bulletin,2023-12-27T21:10:05Z,WILDFIRE,Indicates wildfire spreading,8,WILDFIRE,False,Correctly clustered,WILDFIRE,True
"Air quality dropped to hazardous levels in Tirunelveli, Tamil Nadu.","Tirunelveli, Tamil Nadu",District Collector Office,2025-03-13T03:25:59Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Multiple climate events including air_pollution affecting Madurai, Tamil Nadu with severe impact.","Madurai, Tamil Nadu",IMD Bulletin,2024-09-28T10:33:26Z,AIR_POLLUTION,Indicates air pollution,9,FLOODS,True,Semantic overlap between categories caused misclassification,FLOODS,False
"Cold wave with very low temperatures in Madurai, Tamil Nadu.","Madurai, Tamil Nadu",NDTV News,2025-12-04T22:33:50Z,COLD_WAVE,Indicates cold wave conditions,2,COLD_WAVE,False,Correctly clustered,COLD_WAVE,True
"Thunderstorm with lightning strikes in Guwahati, Assam.","Guwahati, Assam",IMD Bulletin,2023-01-26T05:45:16Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Air quality dropped to hazardous levels in Anantapur, Andhra Pradesh.","Anantapur, Andhra Pradesh",Twitter,2025-08-29T03:37:51Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Hailstorm damaging crops and vehicles in Mumbai, Maharashtra.","Mumbai, Maharashtra",District Collector Office,2024-12-28T02:32:23Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Severe drought affecting water supply in Guwahati, Assam.","Guwahati, Assam",Weather Dept,2023-02-23T02:43:32Z,DROUGHT,Indicates water scarcity,5,DROUGHT,False,Correctly clustered,DROUGHT,True
"Air quality dropped to hazardous levels in Katpadi, Vellore.","Katpadi, Vellore",Twitter,2025-05-31T12:19:27Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Cyclone causing strong winds and rain in Katpadi, Vellore.","Katpadi, Vellore",NDTV News,2025-09-02T06:13:45Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Heavy rainfall has caused flooding in Vijayawada, Andhra Pradesh.","Vijayawada, Andhra Pradesh",IMD Bulletin,2024-02-17T08:59:25Z,FLOODS,Indicates rainfall or water overflow event,3,LANDSLIDE,True,Rain-related event grouped with other weather events due to semantic similarity,LANDSLIDE,False
"Severe drought affecting water supply in Mumbai, Maharashtra.","Mumbai, Maharashtra",District Collector Office,2025-05-07T20:03:55Z,DROUGHT,Indicates water scarcity,5,DROUGHT,False,Correctly clustered,DROUGHT,True
"Multiple climate events including floods affecting Tirunelveli, Tamil Nadu with severe impact.","Tirunelveli, Tamil Nadu",Twitter,2023-04-23T06:28:32Z,FLOODS,Indicates rainfall or water overflow event,9,FLOODS,False,Correctly clustered,FLOODS,True
"Multiple climate events including heatwave affecting Mumbai, Maharashtra with severe impact.","Mumbai, Maharashtra",Twitter,2025-06-07T06:39:26Z,HEATWAVE,Indicates extreme heat conditions,9,FLOODS,True,Heatwave grouped with drought due to temperature relation,FLOODS,False
"Hailstorm damaging crops and vehicles in Pune, Maharashtra.","Pune, Maharashtra",Twitter,2023-04-19T13:42:05Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Hailstorm damaging crops and vehicles in Kochi, Kerala.","Kochi, Kerala",The Hindu,2023-03-12T14:31:16Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Thunderstorm with lightning strikes in Munnar, Kerala.","Munnar, Kerala",Local News,2023-05-25T05:03:44Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Multiple climate events including landslide affecting Bengaluru, Karnataka with severe impact.","Bengaluru, Karnataka",IMD Bulletin,2023-01-28T05:35:33Z,LANDSLIDE,Indicates land movement,9,FLOODS,True,Semantic overlap between categories caused misclassification,FLOODS,False
"Landslides triggered due to rainfall in Coimbatore, Tamil Nadu.","Coimbatore, Tamil Nadu",District Collector Office,2023-08-03T19:33:15Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Extreme heatwave conditions observed in Mysuru, Karnataka.","Mysuru, Karnataka",Local News,2024-11-16T00:07:39Z,HEATWAVE,Indicates extreme heat conditions,2,COLD_WAVE,True,Heatwave grouped with drought due to temperature relation,COLD_WAVE,False
"Hailstorm damaging crops and vehicles in Bengaluru, Karnataka.","Bengaluru, Karnataka",Local News,2025-11-25T15:34:13Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Multiple climate events including cold_wave affecting Tirunelveli, Tamil Nadu with severe impact.","Tirunelveli, Tamil Nadu",Local News,2023-04-26T22:09:59Z,COLD_WAVE,Indicates cold wave conditions,9,FLOODS,True,Cold wave merged into general extreme weather cluster,FLOODS,False
"Multiple climate events including floods affecting Vijayawada, Andhra Pradesh with severe impact.","Vijayawada, Andhra Pradesh",District Collector Office,2023-10-28T11:08:01Z,FLOODS,Indicates rainfall or water overflow event,9,FLOODS,False,Correctly clustered,FLOODS,True
"Multiple climate events including air_pollution affecting Tirunelveli, Tamil Nadu with severe impact.","Tirunelveli, Tamil Nadu",Weather Dept,2025-11-23T04:12:27Z,AIR_POLLUTION,Indicates air pollution,9,FLOODS,True,Semantic overlap between categories caused misclassification,FLOODS,False
"Thunderstorm with lightning strikes in Mysuru, Karnataka.","Mysuru, Karnataka",The Hindu,2023-12-26T22:47:19Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Cyclone causing strong winds and rain in Chennai, Tamil Nadu.","Chennai, Tamil Nadu",The Hindu,2025-07-13T23:53:48Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Cyclone causing strong winds and rain in Hyderabad, Telangana.","Hyderabad, Telangana",District Collector Office,2023-11-13T01:34:14Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Multiple climate events including thunderstorm affecting Kolkata, West Bengal with severe impact.","Kolkata, West Bengal",The Hindu,2024-07-15T07:42:30Z,THUNDERSTORM,Indicates thunderstorm activity,0,THUNDERSTORM,False,Correctly clustered,THUNDERSTORM,True
"Thunderstorm with lightning strikes in Delhi, NCR.","Delhi, NCR",NDTV News,2025-02-16T05:26:02Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Multiple climate events including wildfire affecting Hyderabad, Telangana with severe impact.","Hyderabad, Telangana",IMD Bulletin,2023-04-20T12:10:46Z,WILDFIRE,Indicates wildfire spreading,9,FLOODS,True,Wildfire grouped with heat-related events,FLOODS,False
"Cold wave with very low temperatures in Delhi, NCR.","Delhi, NCR",Twitter,2023-06-16T01:18:28Z,COLD_WAVE,Indicates cold wave conditions,2,COLD_WAVE,False,Correctly clustered,COLD_WAVE,True
"Cyclone causing strong winds and rain in Katpadi, Vellore.","Katpadi, Vellore",Twitter,2025-06-10T08:03:46Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Thunderstorm with lightning strikes in Kolkata, West Bengal.","Kolkata, West Bengal",Local News,2023-07-05T03:44:50Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Extreme heatwave conditions observed in Warangal, Telangana.","Warangal, Telangana",Weather Dept,2024-09-29T06:28:03Z,HEATWAVE,Indicates extreme heat conditions,2,COLD_WAVE,True,Heatwave grouped with drought due to temperature relation,COLD_WAVE,False
"Cyclone causing strong winds and rain in Mumbai, Maharashtra.","Mumbai, Maharashtra",District Collector Office,2024-01-30T08:47:31Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Cyclone causing strong winds and rain in Mumbai, Maharashtra.","Mumbai, Maharashtra",IMD Bulletin,2025-09-29T14:03:01Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Severe drought affecting water supply in Coimbatore, Tamil Nadu.","Coimbatore, Tamil Nadu",District Collector Office,2023-11-14T22:04:12Z,DROUGHT,Indicates water scarcity,5,DROUGHT,False,Correctly clustered,DROUGHT,True
"Multiple climate events including hailstorm affecting Jaipur, Rajasthan with severe impact.","Jaipur, Rajasthan",IMD Bulletin,2025-03-22T16:35:29Z,HAILSTORM,Mentions hailstorm with ice particles,0,THUNDERSTORM,True,Semantic overlap between categories caused misclassification,THUNDERSTORM,False
"Extreme heatwave conditions observed in Vijayawada, Andhra Pradesh.","Vijayawada, Andhra Pradesh",Twitter,2023-12-16T13:21:40Z,HEATWAVE,Indicates extreme heat conditions,2,COLD_WAVE,True,Heatwave grouped with drought due to temperature relation,COLD_WAVE,False
"Air quality dropped to hazardous levels in Vijayawada, Andhra Pradesh.","Vijayawada, Andhra Pradesh",IMD Bulletin,2024-06-14T05:38:29Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Heavy rainfall has caused flooding in Munnar, Kerala.","Munnar, Kerala",The Hindu,2023-01-11T11:51:13Z,FLOODS,Indicates rainfall or water overflow event,3,LANDSLIDE,True,Rain-related event grouped with other weather events due to semantic similarity,LANDSLIDE,False
"Landslides triggered due to rainfall in Delhi, NCR.","Delhi, NCR",Weather Dept,2023-04-09T14:48:03Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Landslides triggered due to rainfall in Kochi, Kerala.","Kochi, Kerala",IMD Bulletin,2023-08-25T15:13:13Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Air quality dropped to hazardous levels in Coimbatore, Tamil Nadu.","Coimbatore, Tamil Nadu",Twitter,2023-05-31T13:47:20Z,AIR_POLLUTION,Indicates air pollution,4,AIR_POLLUTION,False,Correctly clustered,AIR_POLLUTION,True
"Cold wave with very low temperatures in Coimbatore, Tamil Nadu.","Coimbatore, Tamil Nadu",Twitter,2024-06-16T20:46:41Z,COLD_WAVE,Indicates cold wave conditions,2,COLD_WAVE,False,Correctly clustered,COLD_WAVE,True
"Thunderstorm with lightning strikes in Coimbatore, Tamil Nadu.","Coimbatore, Tamil Nadu",The Hindu,2025-04-13T17:21:29Z,THUNDERSTORM,Indicates thunderstorm activity,6,CYCLONE,True,Thunderstorm confused with cyclone/storm due to similar features,CYCLONE,False
"Severe drought affecting water supply in Mumbai, Maharashtra.","Mumbai, Maharashtra",Twitter,2025-07-28T23:02:36Z,DROUGHT,Indicates water scarcity,5,DROUGHT,False,Correctly clustered,DROUGHT,True
"Hailstorm damaging crops and vehicles in Munnar, Kerala.","Munnar, Kerala",Local News,2023-11-14T16:24:42Z,HAILSTORM,Mentions hailstorm with ice particles,1,HAILSTORM,False,Correctly clustered,HAILSTORM,True
"Cyclone causing strong winds and rain in Anantapur, Andhra Pradesh.","Anantapur, Andhra Pradesh",The Hindu,2025-08-15T14:41:32Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Landslides triggered due to rainfall in Jaipur, Rajasthan.","Jaipur, Rajasthan",The Hindu,2023-02-17T18:13:59Z,LANDSLIDE,Indicates rainfall or water overflow event,3,LANDSLIDE,False,Correctly clustered,LANDSLIDE,True
"Cold wave with very low temperatures in Warangal, Telangana.","Warangal, Telangana",Local News,2025-08-08T11:02:51Z,COLD_WAVE,Indicates cold wave conditions,2,COLD_WAVE,False,Correctly clustered,COLD_WAVE,True
"Cyclone causing strong winds and rain in Anantapur, Andhra Pradesh.","Anantapur, Andhra Pradesh",IMD Bulletin,2023-11-25T19:20:06Z,CYCLONE,Indicates rainfall or water overflow event,6,CYCLONE,False,Correctly clustered,CYCLONE,True
"Heavy rainfall has caused flooding in Jaipur, Rajasthan.","Jaipur, Rajasthan",District Collector Office,2023-03-08T02:07:32Z,FLOODS,Indicates rainfall or water overflow event,3,LANDSLIDE,True,Rain-related event grouped with other weather events due to semantic similarity,LANDSLIDE,False
